c,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0630,,India,Selected Dhori Group of Mines,Sel Dhori OC,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,1.8,1.87,2023,,Surface,Open Pit,3.15,50,Estimate,564,Estimate,Subbituminous,Thermal,,,,,4,,-,2,,,-,,Bokaro,,,Jharkhand,Southern Asia,Asia,23.775,85.5417,Exact,,,,,,,,,,,2.2,0.00,0.8,1.5,0.1,0,356
M0631,,India,Sendra Bansjora Coal Mine,Cluster 5,,,https://www.gem.wiki/Sendra_Bansjora_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,1.8,0.6008,2023,,Surface,Open Pit,2.58,60,Estimate,373,Estimate,Bituminous,-,,,,,87,,-,145,,,14,2020,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.793355,86.35049,Exact,,,,,,,,,,,3.2,0.00,3.5,1.5,0.2,0.1,356
M0632,,India,Siarmal Coal Mine,Siarmal Exten,,,https://www.gem.wiki/Siarmal_coal_mine,,Operating,,New,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,10,5.83,2023,,Surface,Open Pit,22.9,50,Estimate,2995,Exact,Lignite,Thermal,,,,,1548,2018,1895,266,2023,,38,,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,22.043469,83.733619,Exact,,,,,,,,,,,7,0.01,0.8,1.5,0.4,0.1,356
M0633,,India,Singhori Coal Mine,,,,https://www.gem.wiki/Singhori_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,0.9,1.2,2023,,Surface,Open Pit,4.25,50,Estimate,345,Estimate,Subbituminous,Thermal,,,,,12,2023,35,10,2017,2028,11,,,Parseoni,Nagpur,Maharashtra,Southern Asia,Asia,21.276666,79.1275,Exact,,,,,,,,,,,1.4,0.00,0.8,1.5,0.1,0,356
M0634,,India,Sonepur Bazari Coal Mine,"Cluster 12, Sonepur Bazari Project",,,https://www.gem.wiki/Sonepur_Bazari_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,7.2,12.37,2023,,Surface,,24.05,245,Exact,1497,Exact,Lignite,Thermal,,,,,362,2022,-,29,1990,,-,,Raniganj,Pandabeswar,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.688231,87.223763,Exact,,,,,,,,,,,53.8,0.04,2.9,1.5,3,1.1,356
M0636,,India,Tadicherla Coal Mine,Tadicherla -1 Block,,,https://www.gem.wiki/Tadicherla_Mines,,Operating,,,,Telangana State Power Generation Corporation Ltd [100%],E100001000574 [100%],,Telangana State Power Generation Corporation,India,*,2.5,2023,,Surface,Open Pit,9.06,50,Estimate,584,Estimate,Subbituminous,Thermal,,,,,48,,-,19,,,20,,Godavari,Tadicherla,Karimnagar,Telangana,Southern Asia,Asia,18.523763,79.749677,Exact,Coal Plant,Kakatiya Power Station,https://www.gem.wiki/Kakatiya_Power_Station,,,,,,,,3,0.00,0.8,1.5,0.2,0.1,356
M0637,,India,Tadkeshwar Lignite Mine,,,,https://www.gem.wiki/Tadkeshwar_Lignite_Mine,,Operating,,,,Gujarat Mineral Development Co Ltd [100%],E100001000669 [100%],,Gujarat Mineral Development Corporation,India,*,0.03,2023,,Surface,Open Pit,9.64,50,Estimate,266,Estimate,Lignite,Thermal,,,,,8,,49,267,,,-,,Surat,,,Gujarat,Southern Asia,Asia,21.357159,73.06986,Exact,,,,,,,,,,,0,0.00,0.8,1.5,0,0,356
M0638,,India,Takli-Jena-Bellora (North & South) Coal Mines,Coal Auction,,,https://www.gem.wiki/Takli-Jena-Bellora_(North_%26_South)_coal_mines,,Operating,,New,,Aurobindo Reality and Infrastructure [100%],E100002009263 [100%],,Aurobindo Reality and Infrastructure,India,1.2,*,,,Underground & Surface,Mixed,9.36,60,Estimate,483,Estimate,Lignite,Thermal,,,,,38,,112,63,2024,,34,,Wardha Valley,Belora,Chandrapur,Maharashtra,Southern Asia,Asia,20.180728,79.083289,Exact,,,,,,,,,,,1.6,0.00,0.9,1.5,0.1,0,356
M0640,,India,Talaipalli Coal Mine,,,,https://www.gem.wiki/Talaipalli_coal_mine,,Operating,,,,NTPC Ltd [100%],E100000001926 [100%],,National Thermal Power Corporation,India,,7.22,2023,,Underground & Surface,Mixed,23.49,60,Estimate,2087,Estimate,Subbituminous,Thermal,,,,,844,,1401,117,2019,,52,,Mand-Raigarh,Gharghoda,Raigarh,Chhattisgarh,Southern Asia,Asia,22.17758,83.355201,Exact,Coal Plant,Lara Integrated Thermal Power Project,https://www.gem.wiki/Lara_Integrated_Thermal_Power_Project,,,,,,,,9.7,0.01,0.9,1.5,0.5,0.2,356
M0641,,India,Tara (East & West) Coal Mine,,,,https://www.gem.wiki/Tara_(East_%26_West)_coal_mine,,Operating,,New,,West Bengal Power Development Corp Ltd [100%],E100001000512 [100%],,West Bengal Power Development Corporation,India,3,*,,,Surface,Open Pit,18,50,Estimate,520,Estimate,Subbituminous,Thermal,,,,,18,,-,,2023,,-,,Raniganj,,Burdwan,West Bengal,Southern Asia,Asia,23.45338,87.23919,Approximate,,,,,,,,,,,3.6,0.00,0.8,1.5,0.2,0.1,356
M0642,,India,Tetariakhar Coal Mine,Rajhara Area,,,https://www.gem.wiki/Tetariakhar_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,1.9,1.03,2023,,Surface,Open Pit,2.08,50,Estimate,378,Estimate,Subbituminous,Thermal,,,,,17,2019,-,17,,,11,2019,,,,Jharkhand,Southern Asia,Asia,23.708769,84.98655,Exact,,,,,,,,,,,1.2,0.00,0.8,1.5,0.1,0,356
M0644,,India,Tubed Coal Mine,,,,https://www.gem.wiki/Tubed_coal_mine,,Operating,,New,,Damodar Valley Corporation [100%],E100000120315 [100%],,,India,4.5,*,,,Surface,,4.6,230,Exact,1181,Estimate,Lignite,Thermal,,,,,-,,189,-,2023,,30,,Auranga,Tubed,Latehar,Jharkhand,Southern Asia,Asia,23.82119,84.57721,Approximate,,,,,,,,,,,18.9,0.01,2.8,1.5,1,0.4,356
M0645,,India,Ukni Deep Coal Mine,,,,https://www.gem.wiki/Ukni_Deep_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2.7,1.838,2023,,Surface,Open Pit,12.85,114,Exact,525,Estimate,Subbituminous,Thermal,,,,,24,2018,64,13,1992,,9,2024,Wardha Valley,Wani North area,Yavatmal,Maharashtra,Southern Asia,Asia,20.020678,79.0678333,Exact,Coal Plant,Dhopave Thermal Power Station (Mahagenco),https://www.gem.wiki/Dhopave_Thermal_Power_Station_(Mahagenco),,,,,,,,4.4,0.00,1.6,1.5,0.2,0.1,356
M0647,,India,Umrer Coal Mine,UMRER EXPN,,,https://www.gem.wiki/Umrer_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,3.3,3.09,2023,,Surface,Open Pit,9.45,50,Estimate,558,Estimate,Subbituminous,Thermal,,,,,12,,-,4,,,-,,Nagpur,Umrer,Nagpur,Maharashtra,Southern Asia,Asia,20.845833,79.271666,Exact,,,,,,,,,,,3.7,0.00,0.8,1.5,0.2,0.1,356
M0649,,India,West Bokaro Coal Mine,,,,https://www.gem.wiki/West_Bokaro_coal_mine_(Tata),,Operating,,,,Coal India; Tata Steel,E100001000396; E100001010018,,Tata Group [50%] Coal India [50%],India,,6.5,2023,,Surface,Open Pit,17.4,50,Estimate,996,Estimate,Bituminous,Met,,,,,-,,-,-,,,-,,,,Ramgarh,Jharkhand,Southern Asia,Asia,23.7927473,85.55423096,Exact,,,,,,,,,,,29.3,0.02,3,1.5,1.6,0.6,356
M1361,,India,Barsingsar Coal Mine,,,,https://www.gem.wiki/Barsingsar_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Limited,India,1.75,2.1,2023,,Surface,Open Pit,9.71,50,Estimate,559,Estimate,Lignite,Thermal,,,,,40,,-,19,,,-,,,Bithnok,Bikaner,Tamil Nadu,Southern Asia,Asia,27.829491,73.220464,Exact,,,,,,,,,,,2.5,0.00,0.8,1.5,0.1,0.1,356
M1365,,India,Govindpur Coal Mine,"Kathara Mines, Govindpur Phase II",,,https://www.gem.wiki/Govindpur_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal india,India,0.9,0.94,2023,,Surface,Open Pit,2.3,50,Estimate,358,Estimate,Subbituminous,Thermal,,,,,20,2014,-,21,2011,,-,,East Bokaro,,Bokaro,Jharkhand,Southern Asia,Asia,23.803195,85.866553,Exact,,,,,,,,,,,1.1,0.00,0.8,1.5,0.1,0,356
M1367,,India,Topa Coal Mine,Kuju Area,,,https://www.gem.wiki/Topa_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,1.35,0.82,2022,,Surface,Open Pit,2.76,50,Estimate,315,Estimate,Subbituminous,Thermal,,,,,10.2,2020,-,12,,,-,,,,,Jharkhand,Southern Asia,Asia,23.739119,85.486353,Exact,,,,,,,,,,,1,0.00,0.8,1.5,0.1,0,356
M1637,,India,Amaglmated Block IV-Kooridih-Govindpur Coal Mine,Cluster III,,,https://www.gem.wiki/Amaglmated_Block_IV-Kooridih-Govindpur_Coal_Mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,1.2,0.23,2023,,Surface,Open Pit,1.49,60,Estimate,349,Estimate,Bituminous,Thermal & Met,50%,50%,Estimated,,13,2013,-,57,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.800453,86.276944,Exact,,,,,,,,,,,1.2,0.00,3.5,1.5,0.1,0,356
M1640,,India,Amgaon Coal Mine,Amagaon,,,https://www.gem.wiki/Amgaon_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.9,0.74,2022,,Surface,Open Pit,8.01,50,Estimate,311,Estimate,Subbituminous,Thermal,,,,,24,,25,32,,,-,,Lakhanpur,Amgaon,Sarguja,Chhattisgarh,Southern Asia,Asia,21.884318,82.79865,Exact,,,,,,,,,,,0.9,0.00,0.8,1.5,0,0,356
M1641,,India,Amritnaga Coal Mine,"Cluster 9, Amritnagar",,,https://www.gem.wiki/Amritnaga_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.6,0.052,2023,,Underground,,2.79,300,Estimate,439,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,50,2023,Raniganj,Asansol,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.650069,87.071513,Approximate,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M1643,,India,Ardhagram Coal Mine,,,,https://www.gem.wiki/Ardhagram_coal_mine,,Operating,,,,OCL Iron & Steel [100%],E100000131996 [100%],,OCL Iron & Steel,India,0.4,0.4,2022,,Surface,Open Pit,8,60,Estimate,397,Estimate,Bituminous,Met,,,,,19,,72,48,,,-,,Raniganj,Ardhagram,Bankura,West Bengal,Southern Asia,Asia,23.587449,87.085853,Exact,Steel Plant,,,,,,,,,,2.1,0.00,3.5,1.5,0.1,0,356
M1644,,India,Badjna Coal Mine,Cluster 1,,,https://www.gem.wiki/Badjna_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.45,0.106,2023,,Underground & Surface,,6.76,60,Estimate,509,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.800306,86.695665,Exact,,,,,,,,,,,0.1,0.00,0.9,1.5,0,0,356
M1646,,India,Bahula Coal Mine,Cluster 11,,,https://www.gem.wiki/Bahula_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.31,0.076,2023,,Underground,,-,300,Estimate,443,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2023,,Asansol,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.654318,87.188096,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M1647,,India,Balgi Coal Mine,,,,https://www.gem.wiki/Balgi_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.36,0.08,2023,,Underground,,10.65,260,Exact,254,Estimate,Subbituminous,Thermal,,,,,3,2023,,38,1984,,-,,Korba,Balgi,Korba,Chhattisgarh,Southern Asia,Asia,22.353611,82.61666,Exact,,,,,,,,,,,0.4,0.00,3,1.6,0,0,356
M1648,,India,Balrampur Coal Mine,Incline Extn. Block,,,https://www.gem.wiki/Balrampur_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.1,2022,,Underground,Bord and Pillar,5.5,300,Estimate,267,Estimate,Subbituminous,Thermal,,,,,7,,12,70,,,-,,Bisrampur,Balrampur,Surajpur,Chhattisgarh,Southern Asia,Asia,23.229703,83.010222,Exact,,,,,,,,,,,0.5,0.00,3.3,1.6,0,0,356
M1649,,India,Bangwar Coal Mine,,,,https://www.gem.wiki/Bangwar_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.65,2022,,Underground,,4.87,300,Estimate,598,Estimate,Subbituminous,Thermal,,,,,17,2021,-,26,,,-,,Sohagpur,Bangwar,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.151647,81.538768,Exact,,,,,,,,,,,3.4,0.00,3.3,1.6,0.2,0.1,356
M1650,,India,Bankola Coal Mine,Cluster 12,,,https://www.gem.wiki/Bankola_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.3,0.237,2023,,Underground,,8.3,300,Estimate,609,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Raniganj,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.659201,87.236639,Exact,,,,,,,,,,,1.3,0.00,3.3,1.6,0.1,0,356
M1651,,India,Bansdeopur Coal Mine,Cluster 5,,,https://www.gem.wiki/Bansdeopur_Coal_Mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,0.6,0.1402,2023,,Surface,Open Pit,1.05,125,Exact,473,Exact,Subbituminous,Thermal,,,,,35,2022,-,250,,,30,2020,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.799105,86.325068,Approximate,,,,,,,,,,,0.4,0.00,1.7,1.5,0,0,356
M1652,,India,Bansra Coal Mine,"Cluster 10, Bansra UG & OC",,,https://www.gem.wiki/Bansra_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.6,0.153,2023,,Underground & Surface,,-,300,Estimate,523,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,50,2023,Raniganj,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.642317,87.139259,Exact,,,,,,,,,,,0.8,0.00,3.3,1.5,0,0,356
M1654,,India,Barmuri Coal Mine,Cluster 2,,,https://www.gem.wiki/Barmuri_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.5,0.503,2023,,Surface,Open Pit,0.59,50,Estimate,380,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,6,2022,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.782796,86.718731,Approximate,,,,,,,,,,,0.6,0.00,0.8,1.5,0,0,356
M1655,,India,Bartarai Coal Mine,Amadand and Kewai Bartarai Underground Coal Mine Project,,,https://www.gem.wiki/Bartarai_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.47,0.16,2022,,Underground,,-,300,Estimate,505,Estimate,Subbituminous,Thermal,,,,,10,,12,63,,,-,,Sohagpur,Bartarai,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.136999,82.065634,Exact,,,,,,,,,,,0.8,0.00,3.3,1.6,0,0,356
M1656,,India,Basantimata Coal Mine,Cluster 16,,,https://www.gem.wiki/Basantimata_Coal_Mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,0.55,2023,,Underground,,4.17,300,Estimate,675,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,24,2013,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.730779,86.756071,Exact,,,,,,,,,,,2.9,0.00,3.3,1.6,0.2,0.1,356
M1657,,India,Bastacola Coal Mine,"Cluster 8, Bastacolla Colliery",,,https://www.gem.wiki/Cluster_No._8_(BCCL),,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,1.75,2.13,2023,,Underground & Surface,Mixed,2.39,60,Estimate,778,Estimate,Subbituminous,Thermal,,,,,72,,-,34,,,10,2024,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.769756,86.41471,Exact,,,,,,,,,,,2.9,0.00,0.9,1.5,0.2,0.1,356
M1659,,India,Behraband Coal Mine,"Beheraband North Extension, Batura West Extension.",,,https://www.gem.wiki/Behraband_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.56,2022,,Underground,,7.7,300,Estimate,619,Estimate,Subbituminous,Thermal,,,,,51,2022,152,91,1993,,-,,Sohagpur,Behraband,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.282233,82.093922,Exact,,,,,,,,,,,3,0.00,3.3,1.6,0.2,0.1,356
M1661,,India,Bellora-Naigaon Coal Mine,Bellora-Naigaon Deep Cast,,,https://www.gem.wiki/Bellora-Naigaon_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.2,1.25,2023,,Surface,Open Pit,6.26,141,Exact,543,Estimate,Subbituminous,Thermal,,,,,-,,-,-,1993,,-,,Wardha Valley,Wani area,Yavatmal,Maharashtra,Southern Asia,Asia,19.976764,79.088501,Exact,,,,,,,,,,,3.6,0.00,1.9,1.5,0.2,0.1,356
M1662,,India,Bhadra Coal Mine,Bhadra Colliery & Extension,,,https://www.gem.wiki/Bhadra_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.18,0.13,2022,,Underground,,1.3,300,Estimate,305,Estimate,Subbituminous,Thermal,,,,,7,2022,-,54,1993,,-,,Sohagpur,Bhadra,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.189078,81.932398,Exact,,,,,,,,,,,0.7,0.00,3.3,1.6,0,0,356
M1663,,India,Bhatgaon Coal Mine,,,,https://www.gem.wiki/Bhatgaon_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.5,0.2,2023,,Underground & Surface,Mixed,33.2,60,Estimate,573,Estimate,Subbituminous,Thermal,,,,,58,,80,290,,,-,,Bisrampur,,Surguja,Chhattisgarh,Southern Asia,Asia,23.37063,82.99223,Exact,,,,,,,,,,,0.3,0.00,0.9,1.5,0,0,356
M1664,,India,Bhurkunda Coal Mine,"Barka Sayal Area, Bhurkunda Colliery",,,https://www.gem.wiki/Bhurkunda_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,1.75,0.41,2022,,Underground & Surface,Mixed,9.1,60,Estimate,1092,Exact,Subbituminous,Thermal,,,,,18,2022,258,44,,,20,2022,South Karanpura,,Ramgarh,Jharkhand,Southern Asia,Asia,23.657086,85.365226,Exact,,,,,,,,,,,0.6,0.00,0.9,1.5,0,0,356
M1666,,India,Bijuri Coal Mine,"Bijuri Extn Block, Bijuri Colly. Area",,,https://www.gem.wiki/Bijuri_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.48,0.14,2022,,Underground,,2.16,300,Estimate,282,Estimate,Subbituminous,Thermal,,,,,2,2022,14,14,,,-,,Sohagpur,Bijuri,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.259109,82.122784,Exact,,,,,,,,,,,0.7,0.00,3.3,1.6,0,0,356
M1669,,India,Chasnala Coal Mine,Chasnalla Colliery,,,https://www.gem.wiki/Chasnala_coal_mine,,Operating,,,,Steel Authority of India Ltd [100%],E100001000703 [100%],,Steel Authority of India [SAIL],India,1.2,0.47,2023,,Underground & Surface,,2.31,60,Estimate,514,Estimate,Bituminous,Met,,,,,15,2014,-,32,,,-,,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.658882,86.449764,Exact,,,,,,,,,,,2.6,0.00,3.5,1.6,0.1,0.1,356
M1670,,India,Chhinda Coal Mine,,,,https://www.gem.wiki/Chhinda_coal_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,0.6,0.13,2024,,Surface,,1.07,50,Estimate,294,Estimate,Subbituminous,Thermal,,,,,5,2010,-,38,2006,,-,,,Parasia,Chindwara,Madhya Pradesh,Southern Asia,Asia,22.213831,78.843954,Exact,,,,,,,,,,,0.2,0.00,0.8,1.5,0,0,356
M1672,,India,Churcha RO Coal Mine,,,,https://www.gem.wiki/Churcha_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.2,1.07,2023,,Underground,,3.59,300,Estimate,893,Estimate,Subbituminous,Thermal,,,,,33,,-,31,1995,,-,,Chirimiri,Churcha,Korea,Chhattisgarh,Southern Asia,Asia,23.335952,82.519611,Exact,,,,,,,,,,,5.6,0.00,3.3,1.6,0.3,0.1,356
M1673,,India,Damini Coal Mine,,,,https://www.gem.wiki/Damini_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.48,0.35,2023,,Underground,,3.35,300,Estimate,309,Estimate,Subbituminous,Thermal,,,,,7,2022,,20,2008,,-,,Sohagpur,Kandoha,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.141744,81.470502,Exact,,,,,,,,,,,1.8,0.00,3.3,1.6,0.1,0,356
M1674,,India,Dhelwadih Coal Mine,,,,https://www.gem.wiki/Dhelwadih_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.33,0.15,2023,,Underground,,7.42,300,Estimate,467,Estimate,Subbituminous,Thermal,,,,,12,,169,80,,,-,,Korba,Dhelwadih,Korba,Chhattisgarh,Southern Asia,Asia,22.461705,82.563349,Exact,,,,,,,,,,,0.8,0.00,3.3,1.6,0,0,356
M1677,,India,Godavarikhani Coal Mines,"GDK1&3, 2&2A and 5 Inclines",,,https://www.gem.wiki/Godavarikhani_UG_Clusters_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,1.4,3.51,2023,,Underground & Surface,Mixed,13.85,60,Estimate,460,Estimate,Subbituminous,Thermal,,,,,20,,61,6,1961,,-,,Godavari,Godavarikhani,Karimnagar,Telangana,Southern Asia,Asia,18.745558,79.508334,Approximate,,,,,,,,,,,4.7,0.00,0.9,1.5,0.3,0.1,356
M1680,,India,Haldibari Coal Mine,,,,https://www.gem.wiki/Haldibari_Coal_Mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.6,0.66,2022,,Underground,,3.9,300,Estimate,336,Estimate,Subbituminous,Thermal,,,,,6,2019,,9,2010,,-,,Jhilimili,Haldibari,Korea,Chhattisgarh,Southern Asia,Asia,23.223784,82.149577,Exact,,,,,,,,,,,3.5,0.00,3.3,1.6,0.2,0.1,356
M1684,,India,Jamuna UG Coal Mine,JAMUNA 1&2/5&6,,,https://www.gem.wiki/Jamuna_coal_mines,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.2,0.18,2022,,Underground,,9.15,300,Estimate,304,Estimate,Subbituminous,Thermal,,,,,4,,-,22,,,-,,Sohagpur,,Anuppur,Madhya Pradesh,Southern Asia,Asia,23.16815,81.942397,Exact,,,,,,,,,,,1,0.00,3.3,1.6,0.1,0,356
M1686,,India,Jharia Coal Mine,"Jharia Division Coal Mine, (6&7 Pits), Jamadoba Colliery, Digwadih Colliery",,,https://www.gem.wiki/Jharia_coal_mine,,Operating,,,,Tata Steel [100%],E100001010018 [100%],,Tata Group [50%]; Coal India [50%],India,0.6,0.68,2022,,Underground,,1.68,300,Estimate,687,Estimate,Bituminous,Met,,,,,-,,-,-,,,-,,Jamadoba,,,Jharkhand,Southern Asia,Asia,23.708161,86.400024,Exact,,,,,,,,,,,11.9,0.01,10.9,1.6,0.7,0.2,356
M1687,,India,Jhilmili Coal Mine,Jhilimili,,,https://www.gem.wiki/Jhilmili_UG_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,0.5,0.31,2022,,Underground,,9.72,300,Estimate,492,Estimate,Subbituminous,Thermal,,,,,20,2019,-,65,,,-,,Jhilimili,Sorga,Korea,Chhattisgarh,Southern Asia,Asia,23.350314,82.728807,Exact,,,,,,,,,,,1.6,0.00,3.3,1.6,0.1,0,356
M1690,,India,Junad Coal Mine,Junad Deep Extension Project,,,https://www.gem.wiki/Junad_Deep_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.2,0.46,2023,,Surface,Open Pit,4.49,50,Estimate,274,Estimate,Subbituminous,Thermal,,,,,6,2024,15,13,1998,,-,,Wardha Valley,Wani North,Yavatmal,Maharashtra,Southern Asia,Asia,20.058148,79.052317,Exact,,,,,,,,,,,0.6,0.00,0.8,1.5,0,0,356
